sample_id,question,success,num_nodes,num_edges,path_length,shortest_path_length,answer_nodes_reached
3075,where is jamarcus russell from?,0,11,14,11,2,0
3076,where was george washington carver from?,0,11,16,11,2,0
3080,who was vice president after kennedy died?,0,11,11,11,2,0
3083,what is my timezone in louisiana?,0,11,14,11,2,0
3087,what town was martin luther king assassinated in?,0,11,13,11,2,0
3088,where did edgar allan poe died?,0,11,17,11,2,0
3093,what timezone is sweden?,0,11,20,11,2,0
3095,what county is frederick md in?,1,11,18,11,2,1
3097,what timezone is utah in?,0,11,13,11,2,0
3104,where was rihanna born and raised?,0,11,13,11,2,0
3106,where george lopez was born?,0,11,14,11,2,0
3110,what did george orwell died of?,0,11,17,11,2,0
3116,where did eleanor roosevelt die?,0,11,14,11,2,0
3118,what was jesse james killed with?,0,11,13,11,2,0
3121,who was the first dictator of the soviet union?,0,11,13,11,2,0
3122,what is the currency of puerto rico called?,1,11,13,11,2,1
3125,what county is brentwood tennessee in?,0,11,13,11,2,0
3128,what language do the maasai tribe speak?,1,11,11,11,2,1
3130,what disease did patrick swayze died from?,0,11,12,11,2,0
3132,what capital of austria?,0,11,18,11,2,0
3133,what type of cancer did eva peron have?,0,11,11,11,2,0
3134,what country did buddha come from?,0,11,11,11,2,0
3135,what county is greeley colorado in?,1,11,14,11,2,1
3140,which country does greenland belong to?,1,11,15,11,2,1
3142,who is willow smith mom name?,0,11,18,11,2,0
3146,what continent does armenia belong to?,1,11,21,11,2,1
3147,what did randy savage died of?,1,11,12,11,2,1
3149,where did richard nixon die?,0,11,12,11,2,0
3151,who was vice president when jfk was president?,0,11,11,11,2,0
3152,what is serbian language called?,1,11,13,11,2,1
3156,where is jay leno from?,0,11,20,11,2,0
3163,where is the carpathian mountain range located?,1,11,19,11,2,1
3167,which country was justin bieber born in?,1,11,16,11,2,1
3171,where did francisco coronado come from?,0,11,11,11,2,0
3173,what language does egyptian people speak?,1,11,12,11,2,1
3176,what type of cancer did gilda radner die of?,0,11,16,11,2,0
3181,where did dolly parton grow up?,0,11,15,11,2,0
3185,who is gimli 's father in the hobbit?,0,11,15,11,2,0
